EventID,EventDate,EpicenterAgency,EpicenterLon,EpicenterLat,Type,Magnitude,Depth,Location
516093,"17-11-2021  12:40","AFAD",31.0316,40.844,"MW",5,18.29,"Merkez (Düzce)"
456426,"11-01-2020  13:37","DDA",28.2086,40.8646,"MW",4.7,10.82,"Marmara Denizi, 22.39 km Silivri (Istanbul)"
447923,"26-09-2019  10:59","DDA",28.214,40.8818,"MW",5.8,7.97,"Marmara Denizi, 20.43 km Silivri (Istanbul)"
441386,"02-06-2019  13:08","DDA",30.7611,40.745,"MW",4.6,6.29,"Hendek (Sakarya)"
427611,"20-12-2018  06:34","DDA",28.9716,40.5938,"MW",4.5,12.47,"Çinarcik (Yalova)"
410003,"07-04-2018  21:16","DDA",31.6393,40.8526,"MW",4.7,10.47,"Merkez (Bolu)"
278200,"22-10-2014  17:11","AFAD",30.1001,40.4113,"MW",4.5,7.68,"GEYVE (SAKARYA)"
209624,"27-11-2013  04:13","AFAD",27.9338,40.822,"ML",4.7,10.01,"-/-/-"
202367,"17-08-2013  18:16","AFAD",29.13,40.3973,"ML",4.6,13.3,"GEMLIK (BURSA)"
166915,"07-06-2012  20:54","AFAD",27.9043,40.8628,"ML",5.1,26.96,"-/-/-"
136316,"25-07-2011  17:57","AFAD",27.7498,40.8195,"ML",5.1,6.97,"-/-/Türkiye"
113804,"03-10-2010  17:49","AADY",28.1925,40.817,"ML",4.5,7,"MARMARA DENIZI (-)"
104675,"15-05-2010  14:08","AADY",30.1675,41.1073,"ML",4.5,12.76,"KOCAELI (-)"
66931,"12-03-2008  18:53","AADY",29.0158,40.6252,"ML",5,24,"YALOVA (-)"
264532,"19-12-2006  19:15","GDDA",28.32,40.34,"MW",4.9,18.5,"KARACABEY (BURSA)"
266472,"24-10-2006  14:00","GDDA",28.9937,40.4221,"MW",5.2,7.9,"-/-/Türkiye"
256148,"08-02-2006  04:07","GDDA",30.412,40.7082,"MW",4.9,6.8,"ADAPAZARI (SAKARYA)"
256678,"31-05-2004  22:50","ISC",30.5844,40.5744,"MW",4.7,15,"AKYAZI (SAKARYA)"
239881,"16-05-2004  03:30","ISC",29.3295,40.7529,"MW",4.6,11,"-/-/Türkiye"
239363,"19-04-2004  15:27","ISC",27.6444,40.6599,"ML",4.5,25,"- (MARMARA ADASI)"
239276,"13-04-2004  21:47","ISC",31.6206,40.8115,"ML",4.6,5,"MERKEZ (BOLU)"
237014,"21-05-2003  08:21","ISC",30.9584,40.8731,"ML",4.5,5,"GÜMÜSOVA (DüZCE)"
238365,"23-03-2002  02:36","ISC",27.83,40.863,"MD",4.7,7,"-/-/Türkiye"
239740,"28-02-2002  08:37","ISC",28.14,40.802,"MW",4.5,11.5,"-/-/Türkiye"
241320,"26-08-2001  00:41","ISC",31.544,40.958,"MW",5.2,8.8,"YIGILCA (DüZCE)"
245633,"23-08-2000  13:41","ISC",30.76,40.782,"MW",5.3,10.5,"HENDEK (SAKARYA)"
245549,"07-07-2000  00:15","ISC",29.285,40.858,"MW",4.5,10,"KARTAL (ISTANBUL)"
250338,"02-04-2000  18:57","ISC",30.294,40.861,"MW",4.5,8.8,"ADAPAZARI (SAKARYA)"
250279,"14-02-2000  06:56","ISC",31.738,41.036,"MW",5.3,10,"YIGILCA (BOLU)"
"","20-01-2000  10:35","ISC",31.319,40.818,"MW",4.9,12.7,""
247700,"13-12-1999  19:13","ISC",30.718,40.766,"MW",4.7,14.2,"HENDEK (SAKARYA)"
246680,"19-11-1999  19:59","ISC",31.017,40.831,"MW",4.9,5.3,"DÜZCE (BOLU)"
246678,"19-11-1999  10:28","ISC",30.99,40.854,"MW",4.5,11.8,"CUMAYERI (DüZCE)"
246661,"17-11-1999  08:15","ISC",31.493,40.832,"MW",5,7,"MERKEZ (BOLU)"
246656,"16-11-1999  17:51","ISC",31.594,40.731,"MW",5,5,"MERKEZ (BOLU)"
"","13-11-1999  02:52","ISC",30.219,40.824,"MW",5,5,""
246624,"13-11-1999  00:54","ISC",31.02,40.77,"MW",5,5.2,"YIĞILCA (BOLU)"
"","12-11-1999  22:49","GDDA",31.05,40.75,"MW",4.6,10,""
246589,"12-11-1999  18:24","ISC",31.605,40.541,"MD",4.7,10,"DÜZCE (BOLU)"
246587,"12-11-1999  18:14","ISC",31.327,40.741,"MW",4.9,10,"YIĞILCA (BOLU)"
"","12-11-1999  18:04","GDDA",31.7,40.7,"MW",5,10,""
"","12-11-1999  18:04","ISC",30.694,40.64,"MD",4.7,33,""
246583,"12-11-1999  17:57","ISC",31.647,40.859,"ML",4.8,10,"YIGILCA (BOLU)"
246582,"12-11-1999  17:56","GDDA",31.25,40.87,"MW",5,9.6,"DÜZCE (BOLU)"
246581,"12-11-1999  17:54","ISC",31.371,40.615,"MD",4.7,23.8,"KAYNASLI (BOLU)"
246580,"12-11-1999  17:52","ISC",31.148,40.878,"MD",4.8,10,"DÜZCE (BOLU)"
246579,"12-11-1999  17:47","GDDA",30.88,40.87,"MW",5,20.1,"CUMAOVA (BOLU)"
246578,"12-11-1999  17:46","ISC",30.965,40.78,"MW",4.8,12.7,"CUMAOVA (BOLU)"
"","12-11-1999  17:29","ISC",31.467,40.703,"MW",5.3,11,""
"","12-11-1999  17:27","ISK",31.4,40.75,"MW",5.4,10,""
246573,"12-11-1999  17:26","ISC",31.508,40.735,"MW",4.7,9.7,"YIĞILCA (BOLU)"
"","12-11-1999  17:23","GDDA",31.16,40.76,"MW",5.3,10,""
"","12-11-1999  17:22","ISC",31.089,40.783,"MW",4.9,18.8,""
"","12-11-1999  17:18","ISC",31.084,40.752,"MW",5.5,27.8,""
"","12-11-1999  17:17","ISC",31.007,40.825,"MW",5,9.3,""
"","12-11-1999  17:13","ISC",31.018,40.864,"MW",4.6,10,""
"","12-11-1999  17:09","ISC",31.628,40.777,"MW",4.6,10,""
"","12-11-1999  17:06","ISC",31.261,40.794,"MW",4.7,65.6,""
246572,"12-11-1999  16:57","ISC",31.187,40.806,"MW",7.1,10.4,"DÜZCE (BOLU)"
246561,"11-11-1999  14:41","ISC",30.248,40.747,"MW",5.6,7.5,"SAPANCA (SAKARYA)"
"","07-11-1999  16:54","ISC",30.717,40.697,"MW",4.9,7.4,""
246529,"20-10-1999  23:08","ISC",29.027,40.831,"MW",5.1,6.6,"-/-/Türkiye"
246973,"29-09-1999  00:13","ISC",29.331,40.738,"MW",5.2,12.2,"ÇINARCIK (YALOVA)"
246927,"24-09-1999  13:44","ISC",30.225,40.753,"MW",4.5,6.6,"IZMIT (KOCAELI)"
246882,"20-09-1999  21:28","ISC",27.578,40.666,"MW",5.2,14.6,"- (TEKİRDAĞ)"
246839,"18-09-1999  00:48","GDDA",29.12,40.6,"MW",4.8,14.4,"ÇINARCIK (YALOVA)"
246833,"17-09-1999  19:50","GDDA",30.09,40.77,"MW",4.7,17.4,"IZMIT (KOCAELI)"
248095,"13-09-1999  11:55","ISC",30.079,40.75,"MW",5.8,10.4,"IZMIT (KOCAELI)"
248024,"09-09-1999  01:32","ISC",29.146,40.702,"ML",5,8.5,"-/-/Türkiye"
247968,"04-09-1999  10:31","ISC",29.935,40.7,"MW",4.7,10.4,"IZMIT (KOCAELI)"
247935,"01-09-1999  13:57","ISC",29.951,40.736,"MW",4.6,9.2,"IZMIT (KOCAELI)"
247916,"31-08-1999  08:33","ISC",29.945,40.732,"MW",4.5,5.9,"GÖLCÜK (İZMİT)"
