EventID,EventDate,EpicenterAgency,EpicenterLon,EpicenterLat,Type,Magnitude,Depth,Location
447923,"26-09-2019  10:59","DDA",28.214,40.8818,"MW",5.8,7.97,"Marmara Denizi, 20.43 km Silivri (Istanbul)"
166915,"07-06-2012  20:54","AFAD",27.9043,40.8628,"ML",5.1,26.96,"-/-/-"
136316,"25-07-2011  17:57","AFAD",27.7498,40.8195,"ML",5.1,6.97,"-/-/Türkiye"
66931,"12-03-2008  18:53","AADY",29.0158,40.6252,"ML",5,24,"YALOVA (-)"
266472,"24-10-2006  14:00","GDDA",28.9937,40.4221,"MW",5.2,7.9,"-/-/Türkiye"
266419,"20-10-2006  18:15","GDDA",27.9792,40.2519,"MW",5.1,16.7,"BANDIRMA (BALIKESIR)"
237466,"09-06-2003  17:44","ISC",28.0099,40.1861,"ML",5.1,9.1,"BANDIRMA (BALIKESIR)"
245633,"23-08-2000  13:41","ISC",30.76,40.782,"MW",5.3,10.5,"HENDEK (SAKARYA)"
246680,"19-11-1999  19:59","ISC",31.017,40.831,"MD",5,5.3,"DÜZCE (BOLU)"
246661,"17-11-1999  08:15","ISC",31.493,40.832,"MW",5,7,"MERKEZ (BOLU)"
"","13-11-1999  02:52","ISC",30.219,40.824,"MW",5,5,""
246624,"13-11-1999  00:54","ISC",31.02,40.77,"MW",5,5.2,"YIĞILCA (BOLU)"
246587,"12-11-1999  18:14","ISC",31.327,40.741,"MD",5,10,"YIĞILCA (BOLU)"
246582,"12-11-1999  17:56","GDDA",31.25,40.87,"MW",5,9.6,"DÜZCE (BOLU)"
246579,"12-11-1999  17:47","GDDA",30.88,40.87,"MW",5,20.1,"CUMAOVA (BOLU)"
"","12-11-1999  17:29","ISC",31.467,40.703,"MW",5.3,11,""
"","12-11-1999  17:27","ISK",31.4,40.75,"MW",5.4,10,""
"","12-11-1999  17:23","GDDA",31.16,40.76,"MW",5.3,10,""
"","12-11-1999  17:18","ISC",31.084,40.752,"MW",5.5,27.8,""
"","12-11-1999  17:17","ISC",31.007,40.825,"MW",5,9.3,""
246572,"12-11-1999  16:57","ISC",31.187,40.806,"MW",7.1,10.4,"DÜZCE (BOLU)"
246561,"11-11-1999  14:41","ISC",30.248,40.747,"MW",5.6,7.5,"SAPANCA (SAKARYA)"
"","07-11-1999  16:54","ISC",30.717,40.697,"MD",5,7.4,""
246529,"20-10-1999  23:08","ISC",29.027,40.831,"MW",5.1,6.6,"-/-/Türkiye"
246973,"29-09-1999  00:13","ISC",29.331,40.738,"MW",5.2,12.2,"ÇINARCIK (YALOVA)"
246882,"20-09-1999  21:28","ISC",27.578,40.666,"MW",5.2,14.6,"- (TEKİRDAĞ)"
248095,"13-09-1999  11:55","ISC",30.079,40.75,"MW",5.8,10.4,"IZMIT (KOCAELI)"
248024,"09-09-1999  01:32","ISC",29.146,40.702,"ML",5,8.5,"-/-/Türkiye"
247915,"31-08-1999  08:10","ISC",29.935,40.756,"MW",5.1,4,"GÖLCÜK (İZMİT)"
"","22-08-1999  14:30","ISC",30.704,40.685,"MW",5.2,13.9,""
"","20-08-1999  10:00","ISC",30.599,40.653,"MW",5.1,25.8,""
247851,"19-08-1999  15:17","ISC",29.137,40.629,"MW",5.1,12,"GEMLIK (BURSA)"
247744,"17-08-1999  04:20","ISC",30.409,40.689,"MW",5.1,12.6,"ADAPAZARI (SAKARYA)"
247738,"17-08-1999  03:14","ISC",30.666,40.644,"MW",5.2,20.8,"AKYAZI (SAKARYA)"
247736,"17-08-1999  02:50","ISC",30.064,40.783,"MW",5.1,11.3,"IZMIT (KOCAELI)"
247735,"17-08-1999  02:42","ISC",30.625,40.635,"MW",5.2,1.2,"AKYAZI (SAKARYA)"
"","17-08-1999  01:33","ISC",29.108,40.682,"MW",5.4,7.4,""
"","17-08-1999  00:16","ANSS",29.97,40.741,"MW",5.3,10,""
"","17-08-1999  00:15","ANSS",30.751,40.648,"MW",5.2,10,""
247730,"17-08-1999  00:01","ISC",29.955,40.756,"MW",7.6,17,"GÖLCÜK (IZMIT)"
